Order ID,Order Date,Customer Name,Segment,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Region,City,State
ORD-10146,2024-01-28,Customer 066,Home Office,Office Supplies,Paper,File Folder,120.33,2,0.05,18.18,East,Kolkata,West Bengal
ORD-10101,2024-01-29,Customer 021,Corporate,Technology,Accessories,Smartphone,2371.13,6,0.1,310.52,Central,Delhi,Delhi
ORD-10190,2024-01-29,Customer 010,Home Office,Technology,Accessories,Keyboard,629.92,1,0.1,57.56,South,Bengaluru,Karnataka
ORD-10084,2024-01-29,Customer 078,Home Office,Technology,Phones,Smartphone,746.42,1,0.1,123.43,West,Mumbai,Maharashtra
ORD-10044,2024-01-29,Customer 037,Consumer,Technology,Accessories,Keyboard,1179.15,2,0.0,203.98,South,Bengaluru,Karnataka
ORD-10278,2024-01-30,Customer 063,Consumer,Furniture,Tables,Desk,643.77,4,0.05,39.58,Central,Delhi,Delhi
ORD-10315,2024-02-01,Customer 059,Consumer,Furniture,Chairs,Cabinet,120.67,1,0.15,-1.99,West,Mumbai,Maharashtra
ORD-10068,2024-02-03,Customer 008,Corporate,Technology,Accessories,Tablet,312.35,1,0.1,39.01,South,Bengaluru,Karnataka
ORD-10432,2024-02-03,Customer 013,Consumer,Furniture,Tables,Desk,1220.8,5,0.05,157.26,West,Mumbai,Maharashtra
ORD-10141,2024-02-04,Customer 061,Consumer,Furniture,Tables,Desk,668.78,3,0.0,82.66,Central,Delhi,Delhi
ORD-10382,2024-02-05,Customer 026,Corporate,Office Supplies,Storage,Storage Box,166.57,6,0.05,22.24,Central,Delhi,Delhi
ORD-10119,2024-02-07,Customer 072,Corporate,Furniture,Chairs,Office Chair,751.18,5,0.05,91.45,South,Bengaluru,Karnataka
ORD-10104,2024-02-08,Customer 035,Corporate,Technology,Phones,Laptop,761.07,1,0.1,94.05,East,Kolkata,West Bengal
ORD-10111,2024-02-08,Customer 046,Consumer,Furniture,Tables,Bookshelf,372.6,2,0.2,-9.53,West,Mumbai,Maharashtra
ORD-10463,2024-02-08,Customer 004,Consumer,Office Supplies,Storage,Binder,244.35,3,0.1,24.12,West,Mumbai,Maharashtra
ORD-10099,2024-02-10,Customer 038,Consumer,Technology,Accessories,Keyboard,1407.01,3,0.15,192.57,East,Kolkata,West Bengal
ORD-10251,2024-02-10,Customer 039,Consumer,Technology,Computers,Monitor,1670.72,4,0.05,297.78,East,Kolkata,West Bengal
ORD-10453,2024-02-11,Customer 027,Home Office,Office Supplies,Storage,Binder,162.2,4,0.0,32.22,West,Mumbai,Maharashtra
ORD-10182,2024-02-12,Customer 002,Corporate,Technology,Computers,Monitor,1128.62,2,0.0,187.61,Central,Delhi,Delhi
ORD-10160,2024-02-12,Customer 048,Consumer,Furniture,Chairs,Cabinet,188.88,2,0.1,13.25,West,Mumbai,Maharashtra
ORD-10346,2024-02-14,Customer 017,Corporate,Technology,Computers,Keyboard,3762.45,7,0.05,470.08,East,Kolkata,West Bengal
ORD-10211,2024-02-18,Customer 021,Consumer,Office Supplies,Paper,Binder,94.16,2,0.05,17.74,East,Kolkata,West Bengal
ORD-10166,2024-02-18,Customer 026,Consumer,Furniture,Chairs,Desk,553.92,2,0.15,16.56,South,Bengaluru,Karnataka
ORD-10057,2024-02-23,Customer 005,Consumer,Office Supplies,Binders,Printer Paper,159.11,2,0.05,27.01,Central,Delhi,Delhi
ORD-10366,2024-02-25,Customer 059,Consumer,Technology,Computers,Keyboard,1860.07,4,0.05,268.96,Central,Delhi,Delhi
ORD-10271,2024-02-26,Customer 047,Home Office,Furniture,Tables,Cabinet,686.97,4,0.05,81.32,West,Mumbai,Maharashtra
ORD-10032,2024-02-27,Customer 055,Consumer,Technology,Accessories,Tablet,3031.82,7,0.1,334.75,West,Mumbai,Maharashtra
ORD-10306,2024-02-27,Customer 026,Home Office,Office Supplies,Binders,Notebook,39.15,2,0.15,6.49,South,Bengaluru,Karnataka
ORD-10172,2024-02-27,Customer 003,Consumer,Technology,Computers,Keyboard,4296.71,6,0.05,767.47,West,Mumbai,Maharashtra
ORD-10114,2024-03-01,Customer 043,Corporate,Technology,Phones,Laptop,4859.43,7,0.05,595.52,Central,Delhi,Delhi
ORD-10041,2024-03-02,Customer 013,Home Office,Technology,Phones,Keyboard,2700.27,7,0.2,210.21,East,Kolkata,West Bengal
ORD-10265,2024-03-04,Customer 011,Consumer,Office Supplies,Paper,File Folder,529.52,5,0.05,67.47,Central,Delhi,Delhi
ORD-10221,2024-03-06,Customer 025,Consumer,Office Supplies,Binders,File Folder,341.86,4,0.1,53.47,Central,Delhi,Delhi
ORD-10261,2024-03-08,Customer 069,Consumer,Office Supplies,Storage,File Folder,50.72,2,0.05,6.49,East,Kolkata,West Bengal
ORD-10342,2024-03-09,Customer 001,Consumer,Technology,Phones,Laptop,1154.8,2,0.1,163.28,South,Bengaluru,Karnataka
ORD-10060,2024-03-09,Customer 034,Corporate,Technology,Phones,Keyboard,2563.66,4,0.15,238.88,West,Mumbai,Maharashtra
ORD-10102,2024-03-09,Customer 056,Consumer,Technology,Computers,Tablet,4666.84,6,0.2,284.04,South,Bengaluru,Karnataka
ORD-10204,2024-03-10,Customer 056,Consumer,Furniture,Tables,Office Chair,559.17,2,0.15,39.79,West,Mumbai,Maharashtra
ORD-10406,2024-03-10,Customer 047,Consumer,Furniture,Chairs,Desk,503.92,2,0.1,23.02,Central,Delhi,Delhi
ORD-10485,2024-03-15,Customer 014,Consumer,Technology,Accessories,Smartphone,160.19,1,0.15,15.46,Central,Delhi,Delhi
ORD-10456,2024-03-15,Customer 049,Corporate,Technology,Phones,Laptop,1441.73,5,0.15,193.77,West,Mumbai,Maharashtra
ORD-10034,2024-03-16,Customer 026,Consumer,Technology,Phones,Keyboard,2281.67,7,0.15,354.14,East,Kolkata,West Bengal
ORD-10442,2024-03-18,Customer 066,Consumer,Technology,Computers,Monitor,1456.12,4,0.15,103.96,South,Bengaluru,Karnataka
ORD-10094,2024-03-18,Customer 032,Home Office,Office Supplies,Storage,Notebook,193.0,4,0.05,31.97,Central,Delhi,Delhi
ORD-10129,2024-03-24,Customer 006,Corporate,Office Supplies,Storage,Binder,63.29,1,0.2,6.16,East,Kolkata,West Bengal
ORD-10107,2024-03-26,Customer 007,Consumer,Office Supplies,Storage,Printer Paper,63.27,1,0.0,13.05,East,Kolkata,West Bengal
ORD-10092,2024-03-27,Customer 055,Consumer,Technology,Phones,Tablet,1162.47,2,0.1,99.05,West,Mumbai,Maharashtra
ORD-10317,2024-03-28,Customer 066,Corporate,Furniture,Chairs,Office Chair,295.35,7,0.2,4.35,South,Bengaluru,Karnataka
ORD-10163,2024-03-30,Customer 075,Consumer,Office Supplies,Storage,Printer Paper,164.8,4,0.3,13.47,South,Bengaluru,Karnataka
ORD-10353,2024-04-02,Customer 080,Consumer,Office Supplies,Binders,File Folder,72.62,1,0.15,10.87,South,Bengaluru,Karnataka
ORD-10303,2024-04-02,Customer 044,Consumer,Office Supplies,Binders,Notebook,109.77,3,0.1,17.47,West,Mumbai,Maharashtra
ORD-10350,2024-04-02,Customer 048,Home Office,Furniture,Chairs,Cabinet,521.65,2,0.1,3.26,South,Bengaluru,Karnataka
ORD-10033,2024-04-05,Customer 048,Consumer,Technology,Accessories,Laptop,1043.81,4,0.0,177.41,East,Kolkata,West Bengal
ORD-10109,2024-04-07,Customer 003,Corporate,Furniture,Bookcases,Office Chair,670.82,6,0.0,90.58,South,Bengaluru,Karnataka
ORD-10425,2024-04-08,Customer 075,Consumer,Technology,Accessories,Smartphone,3691.03,6,0.0,847.69,East,Kolkata,West Bengal
ORD-10264,2024-04-13,Customer 024,Corporate,Technology,Computers,Smartphone,1648.17,3,0.15,128.36,East,Kolkata,West Bengal
ORD-10421,2024-04-15,Customer 011,Corporate,Technology,Phones,Smartphone,2012.9,4,0.1,236.49,South,Bengaluru,Karnataka
ORD-10064,2024-04-16,Customer 063,Consumer,Office Supplies,Paper,Printer Paper,92.81,1,0.1,12.91,East,Kolkata,West Bengal
ORD-10226,2024-04-18,Customer 021,Corporate,Furniture,Bookcases,Office Chair,615.32,4,0.3,-6.6,West,Mumbai,Maharashtra
ORD-10180,2024-04-19,Customer 080,Corporate,Furniture,Chairs,Desk,68.38,1,0.1,4.0,East,Kolkata,West Bengal
ORD-10393,2024-04-20,Customer 059,Corporate,Furniture,Tables,Bookshelf,1154.71,5,0.2,31.46,East,Kolkata,West Bengal
ORD-10201,2024-04-20,Customer 008,Consumer,Office Supplies,Storage,Storage Box,367.96,6,0.15,53.17,South,Bengaluru,Karnataka
ORD-10316,2024-04-20,Customer 025,Consumer,Technology,Phones,Tablet,194.19,2,0.2,11.88,East,Kolkata,West Bengal
ORD-10015,2024-04-22,Customer 002,Consumer,Furniture,Bookcases,Desk,412.25,3,0.0,37.19,West,Mumbai,Maharashtra
ORD-10197,2024-04-22,Customer 021,Consumer,Technology,Accessories,Monitor,2898.99,6,0.1,406.95,South,Bengaluru,Karnataka
ORD-10499,2024-04-24,Customer 028,Corporate,Technology,Accessories,Laptop,5598.3,7,0.1,701.27,West,Mumbai,Maharashtra
ORD-10161,2024-04-26,Customer 015,Consumer,Furniture,Bookcases,Bookshelf,995.82,5,0.2,47.65,Central,Delhi,Delhi
ORD-10209,2024-04-27,Customer 045,Consumer,Furniture,Bookcases,Conference Table,336.54,1,0.3,-8.78,West,Mumbai,Maharashtra
ORD-10071,2024-04-27,Customer 051,Corporate,Office Supplies,Paper,Binder,211.05,3,0.0,43.13,West,Mumbai,Maharashtra
ORD-10165,2024-04-27,Customer 021,Home Office,Furniture,Bookcases,Office Chair,918.57,4,0.3,-53.17,East,Kolkata,West Bengal
ORD-10252,2024-04-27,Customer 073,Corporate,Technology,Accessories,Smartphone,1303.42,3,0.1,163.66,South,Bengaluru,Karnataka
ORD-10341,2024-04-30,Customer 001,Home Office,Office Supplies,Paper,Binder,443.07,6,0.0,75.24,East,Kolkata,West Bengal
ORD-10326,2024-05-07,Customer 054,Corporate,Technology,Phones,Monitor,2171.75,6,0.15,233.9,South,Bengaluru,Karnataka
ORD-10153,2024-05-08,Customer 008,Consumer,Furniture,Chairs,Conference Table,534.37,2,0.3,-40.93,West,Mumbai,Maharashtra
ORD-10494,2024-05-09,Customer 025,Corporate,Office Supplies,Paper,Notebook,372.16,7,0.0,79.09,Central,Delhi,Delhi
ORD-10128,2024-05-09,Customer 047,Corporate,Technology,Computers,Keyboard,519.3,1,0.15,42.81,West,Mumbai,Maharashtra
ORD-10229,2024-05-10,Customer 076,Consumer,Technology,Computers,Smartphone,1685.95,7,0.05,311.89,West,Mumbai,Maharashtra
ORD-10388,2024-05-11,Customer 039,Home Office,Technology,Accessories,Tablet,1973.43,5,0.1,405.62,East,Kolkata,West Bengal
ORD-10472,2024-05-15,Customer 016,Corporate,Office Supplies,Storage,Printer Paper,202.18,4,0.0,40.36,South,Bengaluru,Karnataka
ORD-10332,2024-05-16,Customer 036,Home Office,Furniture,Tables,Office Chair,1011.68,5,0.1,64.44,West,Mumbai,Maharashtra
ORD-10396,2024-05-19,Customer 078,Home Office,Furniture,Chairs,Office Chair,1079.96,4,0.05,124.43,South,Bengaluru,Karnataka
ORD-10272,2024-05-20,Customer 008,Corporate,Furniture,Chairs,Bookshelf,313.11,1,0.0,24.05,South,Bengaluru,Karnataka
ORD-10302,2024-05-20,Customer 008,Corporate,Office Supplies,Paper,Binder,315.99,5,0.15,37.31,South,Bengaluru,Karnataka
ORD-10113,2024-05-25,Customer 062,Corporate,Technology,Phones,Laptop,470.51,3,0.2,28.7,South,Bengaluru,Karnataka
ORD-10269,2024-05-26,Customer 063,Home Office,Office Supplies,Paper,Binder,542.09,7,0.2,45.46,Central,Delhi,Delhi
ORD-10377,2024-05-29,Customer 020,Consumer,Furniture,Tables,Conference Table,2131.03,6,0.05,297.68,South,Bengaluru,Karnataka
ORD-10403,2024-05-31,Customer 005,Consumer,Furniture,Tables,Desk,283.51,1,0.1,25.37,Central,Delhi,Delhi
ORD-10235,2024-06-02,Customer 022,Home Office,Technology,Accessories,Tablet,1097.06,3,0.15,103.98,Central,Delhi,Delhi
ORD-10026,2024-06-09,Customer 067,Consumer,Furniture,Chairs,Bookshelf,740.64,4,0.05,85.77,East,Kolkata,West Bengal
ORD-10213,2024-06-11,Customer 055,Home Office,Technology,Computers,Monitor,434.23,1,0.05,63.57,South,Bengaluru,Karnataka
ORD-10492,2024-06-12,Customer 013,Corporate,Office Supplies,Storage,Notebook,234.84,6,0.0,41.9,West,Mumbai,Maharashtra
ORD-10313,2024-06-17,Customer 069,Corporate,Office Supplies,Storage,File Folder,305.24,4,0.1,35.95,West,Mumbai,Maharashtra
ORD-10474,2024-06-19,Customer 006,Corporate,Technology,Phones,Smartphone,2294.54,4,0.0,489.86,Central,Delhi,Delhi
ORD-10419,2024-06-19,Customer 045,Corporate,Furniture,Tables,Desk,327.11,2,0.15,30.11,West,Mumbai,Maharashtra
ORD-10191,2024-06-21,Customer 069,Corporate,Technology,Computers,Smartphone,636.8,3,0.2,39.31,East,Kolkata,West Bengal
ORD-10222,2024-06-26,Customer 043,Corporate,Technology,Accessories,Monitor,1491.16,3,0.15,111.76,Central,Delhi,Delhi
ORD-10461,2024-06-26,Customer 073,Consumer,Furniture,Chairs,Conference Table,430.93,3,0.0,60.62,South,Bengaluru,Karnataka
ORD-10087,2024-06-27,Customer 054,Consumer,Furniture,Bookcases,Desk,582.43,3,0.05,83.04,Central,Delhi,Delhi
ORD-10061,2024-07-01,Customer 080,Consumer,Technology,Accessories,Tablet,1291.92,3,0.0,229.63,West,Mumbai,Maharashtra
ORD-10340,2024-07-03,Customer 077,Consumer,Technology,Computers,Monitor,726.89,2,0.1,109.61,South,Bengaluru,Karnataka
ORD-10006,2024-07-06,Customer 041,Consumer,Technology,Accessories,Keyboard,2859.29,5,0.05,389.88,East,Kolkata,West Bengal
ORD-10030,2024-07-08,Customer 022,Corporate,Office Supplies,Binders,Printer Paper,223.28,7,0.0,52.7,West,Mumbai,Maharashtra
ORD-10447,2024-07-08,Customer 032,Home Office,Office Supplies,Storage,Binder,224.17,6,0.05,47.78,Central,Delhi,Delhi
ORD-10417,2024-07-08,Customer 004,Consumer,Furniture,Tables,Cabinet,892.04,7,0.0,96.46,South,Bengaluru,Karnataka
ORD-10232,2024-07-09,Customer 067,Corporate,Office Supplies,Storage,Notebook,265.18,4,0.05,41.97,East,Kolkata,West Bengal
ORD-10319,2024-07-10,Customer 065,Consumer,Technology,Phones,Monitor,2264.55,4,0.1,360.59,West,Mumbai,Maharashtra
ORD-10257,2024-07-11,Customer 047,Consumer,Furniture,Chairs,Desk,539.44,4,0.2,1.92,East,Kolkata,West Bengal
ORD-10321,2024-07-11,Customer 069,Corporate,Office Supplies,Paper,Binder,387.83,6,0.0,78.15,West,Mumbai,Maharashtra
ORD-10430,2024-07-13,Customer 015,Consumer,Office Supplies,Paper,Printer Paper,383.53,7,0.1,48.05,West,Mumbai,Maharashtra
ORD-10227,2024-07-14,Customer 025,Corporate,Furniture,Tables,Bookshelf,1750.15,7,0.0,169.47,West,Mumbai,Maharashtra
ORD-10408,2024-07-15,Customer 073,Home Office,Office Supplies,Storage,Storage Box,204.59,5,0.1,28.14,West,Mumbai,Maharashtra
ORD-10325,2024-07-15,Customer 066,Consumer,Furniture,Chairs,Bookshelf,178.74,1,0.15,-2.45,Central,Delhi,Delhi
ORD-10017,2024-07-16,Customer 011,Corporate,Office Supplies,Storage,Binder,39.56,1,0.1,7.38,South,Bengaluru,Karnataka
ORD-10218,2024-07-16,Customer 065,Consumer,Furniture,Bookcases,Office Chair,1744.54,7,0.0,304.15,East,Kolkata,West Bengal
ORD-10308,2024-07-17,Customer 047,Home Office,Office Supplies,Storage,Storage Box,218.49,3,0.0,40.59,West,Mumbai,Maharashtra
ORD-10450,2024-07-22,Customer 020,Corporate,Furniture,Chairs,Bookshelf,149.4,1,0.1,11.17,South,Bengaluru,Karnataka
ORD-10348,2024-07-24,Customer 039,Consumer,Furniture,Tables,Conference Table,684.43,3,0.1,13.13,West,Mumbai,Maharashtra
ORD-10138,2024-07-26,Customer 004,Corporate,Furniture,Tables,Conference Table,1165.04,6,0.15,128.04,West,Mumbai,Maharashtra
ORD-10490,2024-07-27,Customer 016,Consumer,Technology,Computers,Monitor,2694.68,7,0.05,474.41,East,Kolkata,West Bengal
ORD-10083,2024-07-28,Customer 060,Corporate,Furniture,Tables,Desk,1672.01,6,0.0,211.31,South,Bengaluru,Karnataka
ORD-10207,2024-07-29,Customer 022,Corporate,Furniture,Tables,Desk,839.8,3,0.1,40.7,South,Bengaluru,Karnataka
ORD-10344,2024-07-31,Customer 061,Consumer,Technology,Accessories,Smartphone,561.45,1,0.2,39.45,Central,Delhi,Delhi
ORD-10220,2024-08-01,Customer 015,Consumer,Office Supplies,Storage,Notebook,402.31,7,0.15,60.14,East,Kolkata,West Bengal
ORD-10481,2024-08-01,Customer 026,Home Office,Furniture,Tables,Conference Table,428.75,3,0.0,47.8,East,Kolkata,West Bengal
ORD-10178,2024-08-03,Customer 030,Corporate,Furniture,Bookcases,Bookshelf,1584.11,7,0.05,141.83,Central,Delhi,Delhi
ORD-10117,2024-08-03,Customer 003,Corporate,Technology,Phones,Tablet,2694.92,4,0.15,216.61,West,Mumbai,Maharashtra
ORD-10487,2024-08-08,Customer 019,Corporate,Technology,Phones,Laptop,1943.6,4,0.05,239.33,East,Kolkata,West Bengal
ORD-10309,2024-08-08,Customer 008,Consumer,Technology,Phones,Monitor,2752.12,7,0.05,133.08,Central,Delhi,Delhi
ORD-10125,2024-08-09,Customer 037,Consumer,Furniture,Bookcases,Desk,212.66,1,0.1,15.6,South,Bengaluru,Karnataka
ORD-10091,2024-08-09,Customer 038,Corporate,Furniture,Chairs,Bookshelf,2849.69,7,0.1,351.91,South,Bengaluru,Karnataka
ORD-10379,2024-08-10,Customer 057,Consumer,Office Supplies,Storage,Notebook,130.16,3,0.15,12.81,Central,Delhi,Delhi
ORD-10137,2024-08-10,Customer 032,Consumer,Technology,Computers,Keyboard,1449.49,3,0.1,219.47,South,Bengaluru,Karnataka
ORD-10189,2024-08-14,Customer 052,Home Office,Office Supplies,Paper,Printer Paper,278.8,6,0.15,25.36,West,Mumbai,Maharashtra
ORD-10267,2024-08-15,Customer 075,Consumer,Office Supplies,Binders,File Folder,215.99,4,0.05,47.89,South,Bengaluru,Karnataka
ORD-10048,2024-08-16,Customer 036,Corporate,Furniture,Tables,Conference Table,1126.82,5,0.3,-17.46,South,Bengaluru,Karnataka
ORD-10067,2024-08-18,Customer 044,Consumer,Office Supplies,Storage,Notebook,359.81,7,0.05,61.55,East,Kolkata,West Bengal
ORD-10276,2024-08-20,Customer 030,Home Office,Furniture,Bookcases,Bookshelf,1197.79,6,0.05,38.79,East,Kolkata,West Bengal
ORD-10424,2024-08-24,Customer 025,Corporate,Technology,Computers,Keyboard,4089.71,7,0.15,397.97,West,Mumbai,Maharashtra
ORD-10144,2024-08-24,Customer 018,Corporate,Furniture,Bookcases,Desk,844.92,3,0.05,82.7,Central,Delhi,Delhi
ORD-10053,2024-08-26,Customer 049,Consumer,Office Supplies,Paper,Storage Box,573.6,7,0.1,75.47,West,Mumbai,Maharashtra
ORD-10378,2024-08-26,Customer 056,Consumer,Furniture,Tables,Office Chair,531.77,4,0.2,15.25,East,Kolkata,West Bengal
ORD-10363,2024-08-26,Customer 067,Home Office,Furniture,Bookcases,Desk,1016.08,6,0.15,64.15,West,Mumbai,Maharashtra
ORD-10426,2024-08-28,Customer 018,Home Office,Furniture,Chairs,Office Chair,1045.62,6,0.0,122.14,Central,Delhi,Delhi
ORD-10010,2024-08-28,Customer 052,Corporate,Office Supplies,Storage,Printer Paper,56.84,2,0.2,4.64,South,Bengaluru,Karnataka
ORD-10151,2024-08-29,Customer 043,Consumer,Office Supplies,Binders,Storage Box,440.14,5,0.05,86.12,East,Kolkata,West Bengal
ORD-10407,2024-08-29,Customer 010,Consumer,Furniture,Chairs,Conference Table,1101.08,3,0.2,37.76,East,Kolkata,West Bengal
ORD-10413,2024-09-01,Customer 035,Consumer,Furniture,Tables,Cabinet,1318.24,7,0.1,131.32,East,Kolkata,West Bengal
ORD-10175,2024-09-04,Customer 065,Corporate,Office Supplies,Binders,Storage Box,237.81,7,0.3,6.07,East,Kolkata,West Bengal
ORD-10214,2024-09-06,Customer 057,Consumer,Furniture,Tables,Desk,179.49,1,0.0,21.46,West,Mumbai,Maharashtra
ORD-10249,2024-09-06,Customer 069,Consumer,Technology,Phones,Keyboard,1045.14,4,0.15,134.17,Central,Delhi,Delhi
ORD-10423,2024-09-07,Customer 073,Consumer,Office Supplies,Storage,Storage Box,154.71,3,0.1,16.1,Central,Delhi,Delhi
ORD-10035,2024-09-10,Customer 023,Consumer,Furniture,Chairs,Cabinet,1642.98,6,0.05,181.54,West,Mumbai,Maharashtra
ORD-10123,2024-09-14,Customer 078,Corporate,Office Supplies,Binders,Printer Paper,178.26,3,0.0,34.84,South,Bengaluru,Karnataka
ORD-10224,2024-09-15,Customer 027,Consumer,Furniture,Tables,Conference Table,501.53,4,0.1,35.8,South,Bengaluru,Karnataka
ORD-10049,2024-09-15,Customer 016,Corporate,Technology,Accessories,Laptop,381.97,1,0.1,69.06,Central,Delhi,Delhi
ORD-10374,2024-09-16,Customer 065,Consumer,Office Supplies,Storage,Notebook,56.83,1,0.15,5.4,South,Bengaluru,Karnataka
ORD-10112,2024-09-22,Customer 030,Consumer,Technology,Phones,Keyboard,2379.49,4,0.3,58.1,Central,Delhi,Delhi
ORD-10253,2024-09-24,Customer 035,Consumer,Office Supplies,Binders,Binder,164.92,5,0.0,33.52,Central,Delhi,Delhi
ORD-10351,2024-09-25,Customer 069,Corporate,Technology,Phones,Keyboard,2529.26,5,0.1,312.75,Central,Delhi,Delhi
ORD-10496,2024-09-26,Customer 049,Corporate,Office Supplies,Binders,Notebook,171.65,4,0.15,25.58,South,Bengaluru,Karnataka
ORD-10320,2024-09-26,Customer 034,Consumer,Office Supplies,Binders,Notebook,141.95,3,0.15,17.96,South,Bengaluru,Karnataka
ORD-10005,2024-09-27,Customer 072,Corporate,Furniture,Tables,Conference Table,547.55,2,0.15,17.71,South,Bengaluru,Karnataka
ORD-10489,2024-09-30,Customer 060,Consumer,Technology,Accessories,Keyboard,1076.47,2,0.15,78.79,East,Kolkata,West Bengal
ORD-10373,2024-10-03,Customer 044,Consumer,Office Supplies,Paper,Printer Paper,103.85,3,0.2,13.96,East,Kolkata,West Bengal
ORD-10298,2024-10-03,Customer 046,Consumer,Furniture,Chairs,Desk,577.26,6,0.1,40.72,West,Mumbai,Maharashtra
ORD-10098,2024-10-04,Customer 004,Consumer,Office Supplies,Binders,Notebook,192.98,2,0.05,37.18,East,Kolkata,West Bengal
ORD-10307,2024-10-04,Customer 041,Home Office,Office Supplies,Binders,Binder,118.57,3,0.3,6.8,East,Kolkata,West Bengal
ORD-10157,2024-10-05,Customer 075,Consumer,Furniture,Chairs,Conference Table,1736.48,6,0.2,10.13,West,Mumbai,Maharashtra
ORD-10254,2024-10-05,Customer 024,Corporate,Technology,Computers,Smartphone,2375.89,5,0.05,289.07,South,Bengaluru,Karnataka
ORD-10310,2024-10-06,Customer 027,Corporate,Office Supplies,Binders,File Folder,331.29,6,0.1,55.09,East,Kolkata,West Bengal
ORD-10330,2024-10-09,Customer 010,Consumer,Office Supplies,Storage,Printer Paper,488.76,6,0.05,98.32,South,Bengaluru,Karnataka
ORD-10082,2024-10-09,Customer 069,Corporate,Office Supplies,Paper,Printer Paper,245.04,3,0.1,42.95,West,Mumbai,Maharashtra
ORD-10237,2024-10-12,Customer 009,Consumer,Office Supplies,Paper,File Folder,186.21,3,0.0,47.51,South,Bengaluru,Karnataka
ORD-10170,2024-10-14,Customer 039,Corporate,Technology,Computers,Laptop,511.42,1,0.05,96.47,South,Bengaluru,Karnataka
ORD-10007,2024-10-15,Customer 005,Home Office,Technology,Phones,Laptop,541.68,1,0.15,67.24,West,Mumbai,Maharashtra
ORD-10479,2024-10-15,Customer 019,Consumer,Furniture,Bookcases,Bookshelf,346.88,2,0.15,21.6,South,Bengaluru,Karnataka
ORD-10217,2024-10-15,Customer 024,Consumer,Technology,Accessories,Keyboard,1281.44,4,0.15,118.63,West,Mumbai,Maharashtra
ORD-10245,2024-10-17,Customer 048,Consumer,Office Supplies,Binders,Notebook,50.76,1,0.0,7.0,South,Bengaluru,Karnataka
ORD-10076,2024-10-17,Customer 037,Corporate,Office Supplies,Paper,File Folder,307.49,5,0.05,49.24,Central,Delhi,Delhi
ORD-10219,2024-10-20,Customer 060,Consumer,Furniture,Tables,Office Chair,691.43,2,0.05,58.55,Central,Delhi,Delhi
ORD-10077,2024-10-21,Customer 014,Home Office,Furniture,Tables,Conference Table,199.19,1,0.15,13.13,East,Kolkata,West Bengal
ORD-10275,2024-10-21,Customer 067,Corporate,Furniture,Tables,Desk,192.44,2,0.05,13.4,West,Mumbai,Maharashtra
ORD-10164,2024-10-24,Customer 056,Home Office,Furniture,Bookcases,Cabinet,1215.86,7,0.1,90.7,South,Bengaluru,Karnataka
